"","NAME","ID","Name","Period","Value"
"1","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/1/1",-0.5
"2","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/2/1",-0.399999999999999
"3","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/3/1",-0.5
"4","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/4/1",-0.4
"5","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/5/1",-0.2
"6","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/6/1",0
"7","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/7/1",0.100000000000001
"8","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/8/1",0.2
"9","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/9/1",0.3
"10","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/10/1",0.399999999999999
"11","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/11/1",0.8
"12","MIASTO WROCŁAW","PL514","Miasto Wrocław","2012/12/1",0.7
"13","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/1/1",0.8
"14","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/2/1",0.699999999999999
"15","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/3/1",0.8
"16","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/4/1",0.8
"17","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/5/1",0.600000000000001
"18","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/6/1",0.5
"19","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/7/1",0.5
"20","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/8/1",0.399999999999999
"21","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/9/1",0.399999999999999
"22","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/10/1",0.2
"23","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/11/1",0.100000000000001
"24","MIASTO WROCŁAW","PL514","Miasto Wrocław","2013/12/1",-0.2
"25","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/1/1",-0.4
"26","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/2/1",-0.6
"27","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/3/1",-0.7
"28","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/4/1",-0.699999999999999
"29","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/5/1",-0.7
"30","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/6/1",-0.7
"31","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/7/1",-0.7
"32","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/8/1",-0.699999999999999
"33","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/9/1",-0.8
"34","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/10/1",-0.9
"35","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/11/1",-1.2
"36","MIASTO WROCŁAW","PL514","Miasto Wrocław","2014/12/1",-1.4
"37","MIASTO WROCŁAW","PL514","Miasto Wrocław","2015/1/1",-1.4
"38","MIASTO WROCŁAW","PL514","Miasto Wrocław","2015/2/1",-1.4
"39","MIASTO WROCŁAW","PL514","Miasto Wrocław","2015/3/1",-1.4
"40","MIASTO WROCŁAW","PL514","Miasto Wrocław","2015/4/1",-1.4
"41","MIASTO WROCŁAW","PL514","Miasto Wrocław","2015/5/1",-1.3
