"","PL514","PL424","PL811","PL842","PL518","PL219","PL21A","PL432","PL416","PL418","PL925","PL924","PL841","PL213","PL622","PL623","PL633","PL634","PL636","PL524","PL613","PL921","PL715","PL721","PL722","PL523","PL815","PL619","PL712","PL637","PL638","PL711","PL417","PL515","PL516","PL824","PL414","PL427","PL22C","PL714","PL823","PL428","PL228","PL229","PL22A","PL426","PL843","PL814","PL517","PL911","PL217","PL713","PL912","PL411","PL218","PL621","PL22B","PL821","PL214","PL224","PL616","PL812","PL225","PL227","PL415","PL913","PL617","PL618","PL431","PL822","PL926","PL922","PL923"
"PL514",0,0.00714538082498941,0.00502184424409514,0.00495083822750444,0.259042814862385,0.00787734069320649,0.0102419762732905,0.0155551691992193,0.0251339744706182,0.01503399133463,0.00576665344746211,0.00591038897895379,0.00441575401516203,0.00893461358479194,0.00544932095557553,0.00466766044217872,0.00569596705955047,0.00573372215312176,0.00604032734921233,0.0232268389168631,0.0090678160997743,0.00737240768738285,0.00997315111521268,0.00822069568627077,0.0079798685663893,0.0293111713436822,0.00602433137839695,0.00995119372448465,0.0114615180883491,0.00710421561326309,0.0065553827189555,0.0116320094897639,0.0190917985256202,0.022239812067436,0.0325809119637642,0.00616383487022225,0.0143990527445819,0.00815481707370459,0.0119829399519196,0.0168660076911057,0.00591452665982064,0.00720497769012794,0.0153885834482531,0.0153263191467065,0.0125611667739834,0.00638189568877723,0.00434181643691413,0.00551893064655462,0.0329828921359065,0.00710205518438067,0.00716484167599435,0.0111463235761739,0.00656320765018853,0.0099653118308555,0.00686276761068629,0.00616047616088734,0.0115283097065306,0.00534347105105404,0.00877476135811238,0.0137366644654519,0.00783504337195938,0.00485877862484418,0.0101063536596962,0.0140691575094874,0.0152223189419153,0.00756722232042666,0.0106930477221897,0.00788017482114263,0.0107631822262514,0.00504991893600727,0.00818065222861455,0.00714062179358547,0.00868671551343069
"PL424",0.0118840830559529,0,0.0059739667240322,0.00663067615458984,0.0120190993967609,0.00631518258062482,0.00717976140108612,0.0199788919781808,0.0122886841661774,0.0191105272480333,0.0068815062086148,0.00788745581889912,0.00623821875304041,0.00683738195214028,0.0087553980219862,0.00729236904800305,0.0127937559607499,0.0134931176199395,0.0177144445398087,0.00929338651604901,0.0145130430062375,0.00720968601884607,0.00948831451898713,0.00719432004344508,0.00686214170314519,0.00955666105560914,0.00640462520795671,0.0118362874318254,0.00955697214697704,0.01793946565611,0.0128233436904774,0.00955252730969744,0.0185402273413904,0.0134201829181777,0.0148104635825553,0.00598912282540281,0.013433744881558,0.0451985714324605,0.00753386462647903,0.0101695741029891,0.00576147719152911,0.211591258635767,0.0084264689175864,0.00822757909620861,0.00773792590365922,0.0271406504737992,0.00656630267310402,0.00606642325765007,0.0104815639331732,0.00796568255891326,0.00625682944412868,0.00856924230520235,0.00757668209029221,0.0235452668700396,0.00599458043195098,0.0104976241561734,0.00768458387304144,0.00531012105369477,0.00680613477509961,0.00843723020099083,0.0120931359041455,0.00541537575203935,0.0069978891606855,0.00790661895668218,0.0187401388006233,0.00829380527516879,0.0156744119549466,0.0158263167545075,0.0349428382109792,0.00529676789008568,0.00831783541500682,0.00913242082188935,0.0101177706162396
"PL811",0.00813337549197133,0.00581741551874025,0,0.0280147895025853,0.00824779301400699,0.0102987791325981,0.0110304019419381,0.00659404459543175,0.00966212462002595,0.00809874238919199,0.0423386348599553,0.019993557144313,0.0216018735420338,0.011967649764404,0.0127050100250251,0.014064028170643,0.00833469810044726,0.00807038405159355,0.00727627352990547,0.00953914352149535,0.00978533371502721,0.0249974339801808,0.0151007233001394,0.018541237158744,0.0167503184170184,0.00856839219271258,0.0410433309485565,0.0117445708566709,0.014063676082134,0.00801800713759162,0.00942041989758652,0.0139628136104605,0.00766776716824013,0.00665221811380332,0.00733351969476102,0.0192681190846233,0.010120355241666,0.00667572767810948,0.0099632037872364,0.0115376601195705,0.0168464243414267,0.00594998135078671,0.0106177135389929,0.00984593079047216,0.0104343988899367,0.00661057074523004,0.0156382315978239,0.0528338268611625,0.00739950015603535,0.0232591549774544,0.0139443611230952,0.0147377368860457,0.027428178841644,0.00779520591982097,0.0118662665377025,0.0110641171075241,0.0117667159572261,0.0131731874682656,0.0122660283317714,0.0119097750370019,0.0110242396663938,0.0303073231730751,0.0094849538292432,0.00919341834063453,0.00816699229537744,0.020734699596614,0.00939950948022931,0.00893436338902795,0.00647223224618291,0.0176427513446995,0.0198646387630127,0.0161876492352775,0.0141963750796749
"PL842",0.00787490757501259,0.00634138686599377,0.0275135423550367,0,0.00801057413699319,0.00813011360919805,0.00897874167475131,0.00676031790876602,0.00967193885347675,0.00866695615454472,0.0415245218253287,0.0397583003481376,0.06111652821526,0.00937613044011625,0.0209141424387992,0.0276436489485526,0.0107367015483115,0.0102448529277333,0.00878319289705375,0.00866952724890732,0.0116434936412876,0.0177141053333535,0.0156371210775943,0.0136034216171807,0.0120716440450687,0.00788838548938795,0.0193318438605219,0.0136377344795516,0.0138017529976146,0.00964800036486213,0.0122173662187292,0.0136329214790023,0.00798312639924115,0.00654958495949235,0.00733189795800427,0.0120182388444352,0.0108653574383775,0.00743113391787146,0.00841084832383514,0.0110468011140755,0.0108717251197719,0.00652394239370201,0.00925905195084303,0.00857710609417294,0.00882648551968673,0.00764569858439328,0.0335538284211074,0.0193014888227124,0.00700068726626424,0.0256347132320085,0.010045292972591,0.0129860081018054,0.0307991114057311,0.00874356175715451,0.0088305306604824,0.015693087812831,0.00974702429740159,0.00905393630313673,0.00953332347218509,0.0103105459201105,0.0140308473177946,0.0143161671302535,0.00789072422559629,0.00798018455403053,0.0087355595118077,0.0226739481211599,0.0107137229789482,0.0108191346552467,0.00687687638726763,0.0107789432050855,0.0194535384921712,0.0225917599722048,0.0170206378088812
"PL518",0.256918564027203,0.00716729968508379,0.00505072943985043,0.00499483159012405,0,0.00778416690665832,0.0101594304347533,0.0154590871736611,0.0275573785997953,0.0156225782938562,0.00582486940097549,0.00598995949088907,0.00444815789600656,0.00888549714947799,0.00552026397480467,0.00471246763658835,0.0057696259769701,0.00580674299625815,0.00611290467652239,0.0230793893936088,0.00931163579010879,0.00745094264349082,0.0102410956704568,0.00828634902814634,0.00800864048224668,0.027751502628106,0.0060632834918505,0.0102628015249989,0.0118070275412264,0.00722241043503922,0.00666602046927185,0.0119856492862854,0.0197943544409595,0.0209640093756414,0.0321945681712886,0.00616628277664324,0.0151201471086283,0.00824883169208633,0.0118102158872096,0.0176240671223354,0.00590457783507927,0.00723805057603443,0.0153761799598184,0.0151197527556737,0.0124409246645714,0.0064461708858989,0.00437621319645189,0.00554657157031769,0.0290509176523749,0.00721282238759064,0.00714202027319243,0.0113743136896475,0.00665164258568665,0.0101954432597005,0.0068128907406128,0.00625865226592159,0.011519416571564,0.00531589304913403,0.00873355305965859,0.013882000473646,0.00801265940578624,0.00486532877062188,0.00992951947186756,0.0137412529832029,0.0158419548429838,0.00769975401414467,0.0110429271952246,0.00804634399672491,0.0108287061684267,0.00504017995027025,0.00833048361144108,0.00727468522557447,0.00890441660204908
"PL219",0.0108582875930934,0.00523392294008851,0.00876516047066038,0.00704549637738888,0.0108185713907128,0,0.042221395238446,0.00720946151172305,0.0105663357303508,0.00769127742206207,0.00876052595051872,0.00745270111378371,0.0062438171815205,0.0486341565367537,0.00613750042732066,0.00579661979710881,0.00539601403041029,0.00534644523326931,0.00525980477832275,0.0162465425303191,0.00715603238874614,0.0129644475197214,0.0105487961376512,0.0173290974490517,0.0215778721642918,0.0145726042421687,0.0116235697012236,0.00837398222747515,0.0116387451717823,0.00586457121129793,0.00605076432458591,0.0117742977274557,0.00793600980851217,0.0084389509311291,0.00874775551328815,0.0177618442242021,0.00894597683282867,0.00575926847547809,0.0316863621449094,0.0126948087676051,0.0189751026944148,0.00528302210912604,0.0207914472289656,0.0222923368186935,0.0284656845333629,0.00519564894328386,0.00573310974560561,0.0108285579472348,0.0112260969873309,0.009526408481473,0.0327916895322257,0.0146560012231958,0.00921338755805388,0.00661128238110396,0.0489365517931981,0.00625252617821369,0.0271786950623728,0.0189728519013117,0.0456956898970472,0.0193074096506877,0.00708764881644467,0.0106404689032708,0.0443731172642204,0.023840698124602,0.00775688997006154,0.00971527299766761,0.00750243979008124,0.00643050565324314,0.00632274445578924,0.0138474831693806,0.0107178453154387,0.00800786335756531,0.00869372829807539
"PL21A",0.0103590652328474,0.00436622906462496,0.00688843487102046,0.00570933530539547,0.0103605360942821,0.0309804464603263,0,0.00625201423275196,0.0103239782250041,0.00688666520632821,0.0072525370687619,0.00627275780334921,0.00498320508328821,0.0625025516011339,0.00511583271975061,0.00472092752589638,0.00450980182036549,0.00446824752333029,0.00440213986979809,0.0185065820869743,0.00629776875590877,0.0115203874524354,0.00996901703871966,0.0165698173889542,0.0200853821068777,0.0149503335355751,0.00941787496826872,0.00758603171784111,0.0114727488962037,0.00498913994627704,0.00514054118762985,0.0116670302860325,0.00711482645504481,0.00737238262522609,0.00788379228868491,0.0128737676671363,0.00832289264304968,0.00488769323221925,0.0537333893921478,0.0132874385422434,0.0126759938734446,0.00441709913817685,0.0295051315267481,0.0305717322512228,0.0555987468486164,0.00434731831153922,0.00460519649487568,0.00849105337843904,0.0102709417170922,0.00834245331989774,0.0217333437899771,0.0155564026246296,0.00790369439880245,0.00575100910377709,0.0209965745591888,0.00529231401868618,0.053850807972628,0.0110711554994288,0.0524090835530625,0.0258895103847546,0.0061796263797323,0.00776386367954926,0.0413050169102367,0.0283832440462032,0.00695960663270005,0.00864351965547661,0.0066865194984229,0.00554936408543166,0.0054115172560798,0.00924559163278493,0.00978510309272842,0.00697574750869451,0.00782817293526658
"PL432",0.0250737524901298,0.0193631359929604,0.00656279579113843,0.00685085829913155,0.0251249094882295,0.00843074029976552,0.00996386307090726,0,0.020351037276439,0.029634560738651,0.00752757382989233,0.00816627742335348,0.00627459594818168,0.00917487311526059,0.00821996825131066,0.00694129348407016,0.00989472938245748,0.0101357375126599,0.011537121671384,0.0150471988943601,0.014482283107474,0.00863945274001644,0.0116059197883023,0.00904422998266547,0.00871610925106959,0.0165710300931264,0.00741178780621235,0.013468990795004,0.0123359579109563,0.0132471206341688,0.0109067017802746,0.0124014111863705,0.0446673666269554,0.0394350355473665,0.0479427565994436,0.00726087090731462,0.018128859983741,0.0202975222204428,0.0109139405209008,0.0147841800910194,0.00700001920305537,0.0190893179640019,0.0125440834804157,0.0124439829300924,0.0112067894296377,0.0135237763621342,0.00636569546920826,0.00692309493626678,0.0210140088346689,0.00897827816171069,0.00796534180332204,0.0113165529415867,0.00841952390313514,0.0210708128456512,0.00768614450467874,0.00959348121005882,0.0107574231607652,0.00644136606853489,0.00907879423028064,0.0120572456964872,0.0118983665411759,0.00617011249278158,0.00990595621601402,0.0119669974476895,0.0290875720326004,0.00945779281962717,0.0171419275230872,0.0136704340664001,0.0435722260521013,0.00623754852375148,0.00981008031724123,0.0097085365309569,0.0113601657677733
"PL416",0.0294653735180011,0.00866195384959176,0.0069938422399263,0.00712849080480573,0.0325735242264279,0.00898655994543466,0.0119663322920179,0.0148010571625734,0,0.0238922064841638,0.00846645119315033,0.00900099602913936,0.00622508105276618,0.0108198971324836,0.00814733487047681,0.00671901972105106,0.00827182231495039,0.00827737030735031,0.00850654301922776,0.02287772749809,0.0156347705566338,0.01091579651792,0.0185148003304714,0.0117144428165999,0.010779791009148,0.0203714395791336,0.00847594088972923,0.019204185834616,0.0223031443056637,0.0105267455822805,0.0100318172451055,0.0226964384059992,0.0240433759023428,0.0149458568899355,0.0219008369461753,0.00806832423472589,0.0366762595139173,0.0107564634022359,0.0129837742727154,0.0387663548538216,0.00756347912868727,0.00888042818879469,0.0182169041642052,0.0161657529411843,0.0141587724559004,0.00862088306920987,0.00614037661017223,0.00762872667894799,0.0169406659892854,0.0112059786457436,0.00897865300942467,0.0184518092826906,0.0100656556563162,0.0149312074027962,0.00823585884185967,0.00947190187390696,0.014369935254288,0.00657936787443016,0.010728648824698,0.0189585649096192,0.0131093733774016,0.00643323967005959,0.010797145711677,0.0138731835100107,0.0246922865754293,0.012255977650951,0.019450621435382,0.0124528402940053,0.0125108217140474,0.00644442896198552,0.0134118108534909,0.0116579216262525,0.0155246350663477
"PL418",0.0113507804926328,0.00867528598712156,0.00377538660197211,0.00411387696885826,0.0118926928902051,0.00421277432424168,0.00514071582940581,0.0138805069767244,0.015387104659705,0,0.00455159081321143,0.00521719130126859,0.0036993035989387,0.0047964065146398,0.00532673062161229,0.0042450286104768,0.00658043199596136,0.00672696378575777,0.00756874148766188,0.00777245533211539,0.0131846335226012,0.00515487170190073,0.00810664243822418,0.00521979292655513,0.00485870089406781,0.00775228789077207,0.0042766852592226,0.0112816313172947,0.00848129812709825,0.00988852623813221,0.00786412223279431,0.00849669935666762,0.0361434110110041,0.00953966736184741,0.0142963186414412,0.00395307542250486,0.018872802686429,0.0125524446652456,0.00546810227276049,0.009867023377349,0.00374278427912129,0.00907010191613052,0.00668507303779893,0.00630390677386295,0.00575605111665607,0.00833116580605355,0.0037914242868476,0.00394196641707518,0.00800937393286866,0.00574703322080676,0.00421859831831267,0.00702665897767551,0.00527871529392899,0.0223100025968189,0.00394564020891793,0.00661661738413972,0.00577886450712904,0.00333740633042052,0.00476957174569462,0.00681450162906123,0.00930777737010713,0.00338545327460279,0.00484094224068621,0.00579815826642007,0.428878513746642,0.00616664280856563,0.0190107236981506,0.0112832086445453,0.0149916103110662,0.00331973462542737,0.00635475596697325,0.00665736020213466,0.00835695492893505
